psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1,pial2,pial3,pial4a,pial4b,pial4c,pial4d,pial4e,pial4f,pial5a,pial5b,pial5c,pial6a,pial6b,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
101652,1,101312,12011,12,3,4,S,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1, , ,2,3,2,1,75,6,2,1,5,1,2, ,3,33069,2,2,1.73684210526316,.408425137129004
101668,1,101312,37179,37,3,2,S,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1, , ,2,3,2,2,82,8,1,1,3,1,1, ,2,28173,2,2,2,.470307733663702
101669,1,101312,51153,51,3,4,S,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1, , ,3,1,1,1,49,4,2,1,99,1,3,1,3,22193,2,2,3.63157894736842,.853979832178827
101670,1,101312,36055,36,1,4,S,1,2,2,2, , , , , , , , , , , ,2,2, ,3,1,2,2,63,5,2,1,99,1,2, ,8,14606,1,1,7.73684210526316,1.81934833812011
101675,1,101312,12099,12,3,3,S,1,1,1,2,1,2,2,1,2,2,9,1,2,2,1,1, , ,1,3,2,2,85,6,1,1,7,1,3,1,3,33484,2,2,1,.235153866831851
101676,1,101312,37035,37,3,3,U,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1, , ,3,1,2,2,53,6,2,1,9,1,3,1,3,28601,2,2,3.31578947368421,.77972071633719
101680,1,101312,13089,13,3,5,S,3,1,1,1,1,2,1,2,2,1,2,2,2,2,2,1, , ,1,3,2,2,52,6,2,1,5,3,1, ,2,30058,2,2,2.10526315789474,.495060772277581
101681,1,101312,34027,34,1,4,S,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1, , ,1,3,2,2,70,3,2,1,99,1,2, ,2,07932,2,2,1.63157894736842,.383672098515125
101685,1,101312,26163,26,2,5,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1, ,2,3,2,2,65,2,2,2,1,1,2, ,8,48205,1,2,12.5789473684211,2.95798811435855
101693,1,101312,36047,36,1,5,U,3,2,2,2, , , , , , , , , , , ,1, , ,1,3,2,2,58,3,1,2,2,1,2, ,3,11210,2,2,3.78947368421053,.891109390099646
101697,1,101312,13311,13,3,2,R,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,2,2,1,58,4,9,9,8,1,2, ,2,30528,2,2,5.42105263157895,1.27478148861477
101704,1,101312,36051,36,1,1,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,73,7,2,1,4,1,3,2,5,14485,2,2,1.26315789473684,.297036463366549
101706,1,101312,39057,39,2,3,S,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,4,2,2,2,18,4,2,1,1,2,1, ,2,45385,2,2,6.10526315789474,1.43567623960499
101712,1,101312,12119,12,3,2,R,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,2,2, ,1,3,2,1,76,5,2,1,6,1,1, ,1,32162,1,1,2.36842105263158,.556943368812279
101713,1,101312,23011,23,1,2,R,3,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1, , ,3,1,1,2,42,5,2,1,9,1,1, ,3,04345,2,2,4.73684210526316,1.11388673762456
101717,1,101312,10005,10,3,2,R,1,2,2,2, , , , , , , , , , , ,1, , ,1,3,2,2,50,5,2,1,6,1,2, ,8,19958,2,2,1.89473684210526,.445554695049823
101724,1,101312,37051,37,3,3,U,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1, , ,1,1,2,2,44,8,2,2,4,1,2, ,3,28311,2,2,2.42105263157895,.569319888119218
101729,1,101312,36055,36,1,4,S,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1, , ,2,1,1,1,40,5,1,1,4,1,2, ,3,14420,2,2,6.15789473684211,1.44805275891192
101731,1,101312,13067,13,3,4,S,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1, , ,2,1,1,1,40,8,2,9,99,1,9,9,9,30062,2,2,4.52631578947368,1.0643806603968
101734,1,101312,36059,36,1,5,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1, ,3,3,2,2,72,3,2,1,3,1,3,9,3,11510,1,2,8.52631578947369,2.0049961277242
101735,1,101312,18113,18,2,2,R,3,2,2,2, , , , , , , , , , , ,2,2, ,2,3,2,2,77,3,2,1,5,1,9,2,2,46710,1,1,6.94736842105263,1.63370054851602
101756,1,101312,37067,37,3,3,U,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1, , ,1,2,2,2,53,3,2,1,1,1,1, ,2,27106,2,2,2.73684210526316,.643579003960855
